Abbey House Hotel	Abbey Road Furness Abbey Barrow in Furness LA13 0PA	http://www.abbeyhousehotel.com/	Abbey House Hotel	01229 838282	54.136494,-3.200739
Ambleside Manor	Rothay Road Ambleside LA22 0EJ	http://www.ambleside-manor.co.uk/	Ambleside Manor	015394 32062	54.428363,-2.966237
Another Place The Lake	Watermillock Ullswater Lake District CA11 0LP	https://another.place/	Another Place	01768 486442	54.601836,-2.851696
Appleby Castle	Appleby-in-Westmorland Cumbria CA16 6XH	http://www.applebycastle.co.uk/AC/contact/	Appleby Castle	017683 30318	54.574332,-2.489219
Appleby Manor Hotel	Roman Road Appleby-in-Westmorland Cumbria CA16 6JB	http://www.applebymanor.co.uk/	Appleby Manor Hotel	017683 51571	54.578877,-2.476294
Armathwaite Hall Hotel	Bassenthwaite Lake Keswick CA12 4RE	http://www.armathwaite-hall.com/	Armathwaite Hall	017687 76551	54.680963,-3.232470
Askham Hall	Nr Penrith Askham CA10 2PF	https://www.askhamhall.co.uk/	Askham Hall	01931 712350	54.606703,-2.753396
Augill Castle	South Stainmore Kirkby Stephen CA17 4DE	http://stayinacastle.com/	Stay in a Castle	01768 341937 or 341936	54.519567,-2.301887
Barrow-in-Furness Town Hall	Duke Street Barrow in Furness LA14 2LD	https://www.theforumbarrow.co.uk	The Forum	01229 876480	54.111523,-3.227689
Broadoaks Country House	Bridge Lane Troutbeck Windermere LA23 1LA	http://www.broadoakscountryhouse.co.uk/	Broadoaks Country House	015394 45566	54.403578,-2.916258
Barrow in Furness Registration Office	Nan Tait Centre Abbey Road LA14 1LG	http://www.cumbria.gov.uk	cumbria.gov.uk	0300 303 2472	54.114335,-3.230419
Beech Hill Hotel	Newby Bridge Road Windermere LA23 3LR	https://beechhillhotel.co.uk/	Beech Hill Hotel	0844 502 7587	54.321235,-2.940280
Belmount Hall	Belmont Hall Outgate Ambleside LA22 0NJ	https://belmounthall.com/	Belmount Hall	015394 36373	54.384968,-2.999246
Belsfield - Laura Ashley Hotel	Kendal Road Bowness-On-Windermere LA23 3EL	http://www.lauraashleyhotels.com/thebelsfield/	The Belsfield	015394 42448	54.361343,-2.919642
Blaithwaite House	Blaithwaite House Wigton CA7 0AZ	http://www.blaithwaite.co.uk/	Blaithwaite House	016973 42319	54.791456,-3.224989
Blencowe Hall	Blencowe Hall Blencowe Penrith Cumbria CA11 0DF	http://www.therowleyestates.com/halls/blencowe-hall/	The Rowley Estates	07968 258 234	54.685475,-2.854389
Brantwood	East Of Lake Coniston LA21 8AD	http://www.brantwood.org.uk/	Brantwood	015394 41396	54.366347,-3.071332
Bridge Inn	Bridge Inn, Santon Bridge, Holmrook, Santon Bridge CA19 1UX	http://santonbridgeinn.com	Bridge Inn	019467 26221	54.402313,-3.372504
Briery Wood Hotel	Windermere, Cumbria, LA23 1ES	https://www.lakedistrictcountryhotels.co.uk/briery-wood-hotel	Briery Wood Country House Hotel & Restaurant	015394 33316	54.384749,-2.915577
Bristowe Hill	Crosthwaite Road Keswick Cumbria CA12 5PG	https://bristowehill.co.uk/	Bristowe Hill	7447523002	54.605730,-3.142630
